issue,dataset,label_column,label,code_column,codes_found,problem
N4,ihhl_new_identification_new1_api,dstrt_nm,Annamayya,lgd_dist_code,504 YSR KADAPA ; 753 ANNAMAYYA,One district label carries more than one LGD district code in the same dataset
N4,sasa_50_percent_green_spaces_api,dstrt_nm,"""Ambedkar Konaseema""",lgd_dist_code,505 EAST GODAVARI ; 747 DR.B.R.AMBEDKAR KONASEEMA ; 752 TIRUPATI,One district label carries more than one LGD district code in the same dataset
N4,sasa_50_percent_green_spaces_api,dstrt_nm,Annamayya,lgd_dist_code,504 YSR KADAPA ; 753 ANNAMAYYA,One district label carries more than one LGD district code in the same dataset
N4,sasa_50_percent_green_spaces_api,"dstrt_nm, ulb_nm","RAMACHANDRAPURAM (""Ambedkar Konaseema"")",lgd_mandal_code,1065 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 4924 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 5398 RAMACHANDRAPURAM in 752 TIRUPATI,"One ULB carries mandal codes in different districts, so at least one points to the wrong place"
N4,sasa_50_percent_greencover_api,dstrt_nm,"""Ambedkar Konaseema""",lgd_dist_code,505 EAST GODAVARI ; 747 DR.B.R.AMBEDKAR KONASEEMA ; 752 TIRUPATI,One district label carries more than one LGD district code in the same dataset
N4,sasa_50_percent_greencover_api,dstrt_nm,Annamayya,lgd_dist_code,504 YSR KADAPA ; 753 ANNAMAYYA,One district label carries more than one LGD district code in the same dataset
N4,sasa_50_percent_greencover_api,"dstrt_nm, ulb_nm","RAMACHANDRAPURAM (""Ambedkar Konaseema"")",lgd_mandal_code,1065 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 4924 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 5398 RAMACHANDRAPURAM in 752 TIRUPATI,"One ULB carries mandal codes in different districts, so at least one points to the wrong place"
N4,sasa_50_percent_rejuvenation_api,dstrt_nm,"""Ambedkar Konaseema""",lgd_dist_code,505 EAST GODAVARI ; 747 DR.B.R.AMBEDKAR KONASEEMA ; 752 TIRUPATI,One district label carries more than one LGD district code in the same dataset
N4,sasa_50_percent_rejuvenation_api,dstrt_nm,Annamayya,lgd_dist_code,504 YSR KADAPA ; 753 ANNAMAYYA,One district label carries more than one LGD district code in the same dataset
N4,sasa_50_percent_rejuvenation_api,"dstrt_nm, ulb_nm","RAMACHANDRAPURAM (""Ambedkar Konaseema"")",lgd_mandal_code,1065 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 4924 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 5398 RAMACHANDRAPURAM in 752 TIRUPATI,"One ULB carries mandal codes in different districts, so at least one points to the wrong place"
N4,sewage_treated_qty_new1_api,dstrt_nm,Chittoor,lgd_dist_code,503 CHITTOOR ; 753 ANNAMAYYA,One district label carries more than one LGD district code in the same dataset
N4,sewage_treated_qty_new1_api,dstrt_nm,Prakasam,lgd_dist_code,517 PRAKASAM ; 790 MARKAPURAM,One district label carries more than one LGD district code in the same dataset
N4,swacch_survekshan_info_new1_api,dstrt_nm,"""Dr. B.R. Ambedkar Konaseema""",lgd_dist_code,747 DR.B.R.AMBEDKAR KONASEEMA ; 752 TIRUPATI,One district label carries more than one LGD district code in the same dataset
N4,swacch_survekshan_info_new1_api,dstrt_nm,"""SPSR Nellore""",lgd_dist_code,511 KURNOOL ; 515 SRI POTTI SRIRAMULU NELLORE,One district label carries more than one LGD district code in the same dataset
N4,swacch_survekshan_info_new1_api,"dstrt_nm, ulb_nm","GUDUR (""SPSR Nellore"")",lgd_mandal_code,5184 GUDUR in 515 SRI POTTI SRIRAMULU NELLORE ; 5257 GUDUR in 511 KURNOOL,"One ULB carries mandal codes in different districts, so at least one points to the wrong place"
N4,swacch_survekshan_info_new1_api,"dstrt_nm, ulb_nm",GUDURU (Kurnool),"lgd_dist_code, lgd_mandal_code","510 KRISHNA, mandal 5031",Listed under Kurnool but coded to Guduru mandal in Krishna
N4,swacch_survekshan_info_new1_api,dstrt_nm,Kurnool,lgd_dist_code,510 KRISHNA ; 511 KURNOOL,One district label carries more than one LGD district code in the same dataset
N4,swacch_survekshan_info_new1_api,"dstrt_nm, ulb_nm","RAMACHANDRAPURAM (""Dr. B.R. Ambedkar Konaseema"")",lgd_mandal_code,1065 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 4924 RAMACHANDRAPURAM in 747 DR.B.R.AMBEDKAR KONASEEMA ; 5398 RAMACHANDRAPURAM in 752 TIRUPATI,"One ULB carries mandal codes in different districts, so at least one points to the wrong place"
N5,msw_door_to_door_collection_api,district_name,Markapuram,district_code,NULL,"51 secretariats a day (GIDDALUR, KANIGIRI, MARKAPUR, PODILI), 816 rows over 16 days"
N5,waste_egregation_api,district_name,Markapuram,district_code,NULL,"51 secretariats a day (GIDDALUR, KANIGIRI, MARKAPUR, PODILI), 816 rows over 16 days"
