proposed_key,ulb_name,district,mepma_ulb_id,cdma_ulb_code,lgd_district_codes,lgd_mandal_codes,lgd_local_body_code,spellings_found,spellings,datasets,review_flags
MEPMA-181,NARSIPATNAM,ANAKAPALLI,181,1136,744,1136;4854,,2,ANAKAPALLI / NARSIPATNAM | Anakapalli / NARSIPATNAM | Anakapalli / Narsipatnam,16,"several mandal codes (A3, C1)"
MEPMA-182,YELLAMANCHALLI,ANAKAPALLI,182,1137,744,1137,,4,ANAKAPALLI / YELLAMANCHALLI | Anakapalli / YELAMANCHILI | Anakapalli / Yelamanchali | Anakapalli / Yelamanchili,12,4 spellings (A1)
MEPMA-8,ANANTHAPUR,ANANTHAPUR,8,1001,502,1001,,5,ANANTHAPUR / ANANTHAPUR | Anantapur / ANANTAPUR | Anantapur / Anantapur | Anantapuram / ANANTAPUR | Anantapuram / Ananthapuramu | Ananthapur / Ananthapur,16,"5 spellings (A1); ""ANANTAPUR"" (Anantapuram) attached by same spelling as an approved decision under another district label, review needed"
MEPMA-146,GOOTY,ANANTHAPUR,146,1156,502,1156;5310,,2,ANANTHAPUR / GOOTY | Anantapur / GOOTY | Anantapur / Gooty | Anantapuram / GOOTY | Anantapuram / Gooty | Ananthapur / Gooty,16,"several mandal codes (A3, C1)"
MEPMA-10,GUNTAKAL,ANANTHAPUR,10,1003,502,1003,,2,ANANTHAPUR / GUNTAKAL | Anantapur / GUNTAKAL | Anantapur / Guntakal | Anantapuram / GUNTAKAL | Anantapuram / Guntakal | Ananthapur / Guntakal,14,
MEPMA-189,KALYANDURG,ANANTHAPUR,189,1158,502,1158,,5,ANANTHAPUR / KALYANDURG | Anantapur / KALYANDURGAM | Anantapur / Kalyanadurgam | Anantapuram / KALYANADURGAM | Anantapuram / Kalyandurgam | Ananthapur / Kalyanadurgam | Ananthapur / Kalyandurgam,16,"5 spellings (A1); ""KALYANDURGAM"" (Anantapur) attached by same spelling as an approved decision under another district label, review needed; ""KALYANADURGAM"" (Anantapuram) attached by same spelling as an approved decision under another district label, review needed; ""Kalyandurgam"" (Ananthapur) attached by same spelling as an approved decision under another district label, review needed"
MEPMA-13,RAYADURG,ANANTHAPUR,13,1006,502,1006;5305,,2,ANANTHAPUR / RAYADURG | Anantapur / RAYADURG | Anantapur / Rayadurg | Anantapuram / RAYADURG | Anantapuram / Rayadurg | Ananthapur / Rayadurg,17,"several mandal codes (A3, C1)"
MEPMA-14,TADIPATRI,ANANTHAPUR,14,1007,502,1007,,2,ANANTHAPUR / TADIPATRI | Anantapur / TADIPATRI | Anantapur / Tadipatri | Anantapuram / TADIPATRI | Ananthapur / Tadipatri,14,
CDMA-1189,B KOTHAKOTA,Annamayya,,1189,753,1189;5391,,4,"Annamayya / ""B KOTHAKOTA"" | Annamayya / B KOTHAKOTA | Annamayya / B Kothakota | Annamayya / B.Kothakota",10,"several mandal codes (A3, C1); 4 spellings (A1); not in the MEPMA tables; ""B.Kothakota"" is not MADANAPALLE. The app review approved B.Kothakota as MADANAPALLE, but the CDMA daily file lists B KOTHAKOTA (ulb_code 1189) and MADANAPALLE (1009) as separate ULBs, and the Swachh Survekshan table codes B KOTHAKOTA as mandal 1189 or 5391, not 1009"
MEPMA-16,MADANAPALLE,ANNAMAYYA,16,1009,753,1009,,2,ANNAMAYYA / MADANAPALLE | Annamayya / MADANAPALLE | Annamayya / Madanapalle,14,
MEPMA-19,PUNGANUR,ANNAMAYYA,19,1010,753,1010;5415,,3,ANNAMAYYA / PUNGANUR | Annamayya / PUNGANUR | Annamayya / Punganur | Annamayya / Pungunur | Chittoor / Punganur,17,"several mandal codes (A3, C1)"
MEPMA-50,RAYACHOTY,ANNAMAYYA,50,1121,753,1121;5239,,4,ANNAMAYYA / RAYACHOTY | Annamayya / RAYACHOTI | Annamayya / RAYACHOTY | Annamayya / Rayachoti | Annamayya / Rayachoty,17,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-163,ADANKI,BAPATLA,163,1147,517,1147;5112,,3,BAPATLA / ADANKI | Prakasam / ADDANKI | Prakasam / Addanki,14,"several mandal codes (A3, C1)"
MEPMA-32,BAPATLA,BAPATLA,32,1019,750,1019;5093,,2,BAPATLA / BAPATLA | Bapatla / BAPATLA | Bapatla / Bapatla | Baptla / Bapatla,19,"several mandal codes (A3, C1)"
MEPMA-96,CHIRALA,BAPATLA,96,1032,750,1032;5123,,2,BAPATLA / CHIRALA | Bapatla / CHIRALA | Bapatla / Chirala | Baptla / Chirala,18,"several mandal codes (A3, C1)"
MEPMA-40,REPALLE,BAPATLA,40,1026,750,1026;5096,,2,BAPATLA / REPALLE | Bapatla / REPALLE | Bapatla / Repalle | Baptla / Repalle,14,"several mandal codes (A3, C1)"
MEPMA-15,CHITTOOR,CHITTOOR,15,1008,503,1008;5421,,2,CHITTOOR / CHITTOOR | Chittoor / CHITTOOR | Chittoor / Chittoor,16,"several mandal codes (A3, C1)"
MEPMA-204,KUPPAM,CHITTOOR,204,1180,503,1180;5427,,2,CHITTOOR / KUPPAM | Chittoor / KUPPAM | Chittoor / Kuppam,16,"several mandal codes (A3, C1)"
MEPMA-17,NAGARI,CHITTOOR,17,1118,503,1118;5406,,2,CHITTOOR / NAGARI | Chittoor / NAGARI | Chittoor / Nagari,17,"several mandal codes (A3, C1)"
MEPMA-18,PALAMANERU,CHITTOOR,18,1117,503,1117;5422,,4,CHITTOOR / PALAMANERU | Chittoor / PALAMANER | Chittoor / PALAMANERU | Chittoor / Palamaner | Chittoor / Palamaneru,16,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-23,AMALAPURAM,DR. BR AMBEDKAR KONASEEMA,23,1059,747,1059;4941,,2,"""Ambedkar Konaseema"" / Amalapuram | ""B.R Ambedkar Konaseema"" / Amalapuram | ""Dr. B.R Ambedkar Konaseema"" / Amalapuram | ""Dr. B.R. Ambedkar Konaseema"" / AMALAPURAM | Ambedkar Konaseema / Amalapuram | DR. BR AMBEDKAR KONASEEMA / AMALAPURAM | Dr. B.R Ambedkar Konaseema / Amalapuram | Dr. B.R. Ambedkar Konaseema / AMALAPURAM | Konaseema / Amalapuram",16,"several mandal codes (A3, C1)"
MEPMA-150,MUMIDIVARAM,DR. BR AMBEDKAR KONASEEMA,150,1139,747,1139;4932,,3,"""Ambedkar Konaseema"" / Mummidivaram | ""Dr. B.R Ambedkar Konaseema"" / Mummidivaram | ""Dr. B.R. Ambedkar Konaseema"" / MUMMIDIVARAM | Ambedkar Konaseema / Mummidivaram | DR. BR AMBEDKAR KONASEEMA / MUMIDIVARAM | Dr. B.R Ambedkar Konaseema / Mummidivaram | Dr. B.R. Ambedkar Konaseema / MUMMIDIVARAM",12,"several mandal codes (A3, C1)"
